No.,Time,Source,Destination,Source Port,Destination Port,Source,Destination,Protocol,Length,Info
1,0,10.42.42.253,10.42.42.50,46104,80,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,46104  >  80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3299940 TSecr=0 WS=64
2,0.000731,10.42.42.50,10.42.42.253,80,46104,70:5a:b6:51:d7:b2,00:23:8b:82:1f:4a,TCP,60,"80  >  46104 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
3,0.607594,10.42.42.253,10.42.42.56,59856,80,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,59856  >  80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300092 TSecr=0 WS=64
4,0.607596,10.42.42.253,10.42.42.25,40921,1,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,40921  >  80 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300092 TSecr=0 WS=64
5,0.607679,10.42.42.56,10.42.42.253,80,59856,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"80  >  59856 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
6,0.607769,10.42.42.25,10.42.42.253,80,40921,00:16:cb:92:6e:dc,00:23:8b:82:1f:4a,TCP,60,"80  >  40921 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
7,0.81279,10.42.42.253,10.42.42.50,38232,554,00:23:8b:82:1f:4a,70:5a:b6:51:d7:b2,TCP,74,38232  >  554 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
8,0.812793,10.42.42.253,10.42.42.56,43771,554,00:23:8b:82:1f:4a,00:26:22:cb:1e:79,TCP,74,43771  >  554 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
9,0.812877,10.42.42.56,10.42.42.253,554,43771,00:26:22:cb:1e:79,00:23:8b:82:1f:4a,TCP,60,"554  >  43771 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
10,0.81298,10.42.42.253,10.42.42.25,50305,1,00:23:8b:82:1f:4a,00:16:cb:92:6e:dc,TCP,74,50305  >  554 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=3300144 TSecr=0 WS=64
